"date","vaccine_series_completed_percent_population","zip_code"
2021-05-20,0.398,"Citywide"
2021-05-21,0.401,"Citywide"
2021-05-22,0.404,"Citywide"
2021-05-23,0.405,"Citywide"
2021-05-24,0.407,"Citywide"
2021-05-25,0.409,"Citywide"
2020-12-15,0,"Protect Chicago Plus"
2020-12-16,0,"Protect Chicago Plus"
2020-12-17,0,"Protect Chicago Plus"
2020-12-18,0,"Protect Chicago Plus"
2020-12-19,0,"Protect Chicago Plus"
2020-12-20,0,"Protect Chicago Plus"
2020-12-21,0,"Protect Chicago Plus"
2020-12-22,0,"Protect Chicago Plus"
2020-12-23,0,"Protect Chicago Plus"
2020-12-24,0,"Protect Chicago Plus"
2020-12-25,0,"Protect Chicago Plus"
2020-12-26,0,"Protect Chicago Plus"
2020-12-27,0,"Protect Chicago Plus"
2020-12-28,0,"Protect Chicago Plus"
2020-12-29,0,"Protect Chicago Plus"
2020-12-30,0,"Protect Chicago Plus"
2020-12-31,0,"Protect Chicago Plus"
2021-01-01,0,"Protect Chicago Plus"
2021-01-02,0,"Protect Chicago Plus"
2021-01-03,0,"Protect Chicago Plus"
2021-01-04,0,"Protect Chicago Plus"
2021-01-05,0,"Protect Chicago Plus"
2021-01-06,0,"Protect Chicago Plus"
2021-01-07,0,"Protect Chicago Plus"
2021-01-08,0.001,"Protect Chicago Plus"
2021-01-09,0.001,"Protect Chicago Plus"
2021-01-10,0.001,"Protect Chicago Plus"
2021-01-11,0.001,"Protect Chicago Plus"
2021-01-12,0.002,"Protect Chicago Plus"
2021-01-13,0.002,"Protect Chicago Plus"
2021-01-14,0.002,"Protect Chicago Plus"
2021-01-15,0.002,"Protect Chicago Plus"
2021-01-16,0.002,"Protect Chicago Plus"
2021-01-17,0.002,"Protect Chicago Plus"
2021-01-18,0.002,"Protect Chicago Plus"
2021-01-19,0.003,"Protect Chicago Plus"
2021-01-20,0.003,"Protect Chicago Plus"
2021-01-21,0.003,"Protect Chicago Plus"
2021-01-22,0.003,"Protect Chicago Plus"
2021-01-23,0.004,"Protect Chicago Plus"
2021-01-24,0.004,"Protect Chicago Plus"
2021-01-25,0.004,"Protect Chicago Plus"
2021-01-26,0.004,"Protect Chicago Plus"
2021-01-27,0.005,"Protect Chicago Plus"
2021-01-28,0.005,"Protect Chicago Plus"
2021-01-29,0.006,"Protect Chicago Plus"
2021-01-30,0.006,"Protect Chicago Plus"
2021-01-31,0.006,"Protect Chicago Plus"
2021-02-01,0.007,"Protect Chicago Plus"
2021-02-02,0.007,"Protect Chicago Plus"
2021-02-03,0.008,"Protect Chicago Plus"
2021-02-04,0.009,"Protect Chicago Plus"
2021-02-05,0.009,"Protect Chicago Plus"
2021-02-06,0.01,"Protect Chicago Plus"
2021-02-07,0.01,"Protect Chicago Plus"
2021-02-08,0.01,"Protect Chicago Plus"
2021-02-09,0.011,"Protect Chicago Plus"
2021-02-10,0.012,"Protect Chicago Plus"
2021-02-11,0.013,"Protect Chicago Plus"
2021-02-12,0.014,"Protect Chicago Plus"
2021-02-13,0.015,"Protect Chicago Plus"
2021-02-14,0.015,"Protect Chicago Plus"
2021-02-15,0.016,"Protect Chicago Plus"
2021-02-16,0.016,"Protect Chicago Plus"
2021-02-17,0.018,"Protect Chicago Plus"
2021-02-18,0.019,"Protect Chicago Plus"
2021-02-19,0.021,"Protect Chicago Plus"
2021-02-20,0.022,"Protect Chicago Plus"
2021-02-21,0.022,"Protect Chicago Plus"
2021-02-22,0.023,"Protect Chicago Plus"
2021-02-23,0.025,"Protect Chicago Plus"
2021-02-24,0.027,"Protect Chicago Plus"
2021-02-25,0.029,"Protect Chicago Plus"
2021-02-26,0.032,"Protect Chicago Plus"
2021-02-27,0.033,"Protect Chicago Plus"
2021-02-28,0.034,"Protect Chicago Plus"
2021-03-01,0.036,"Protect Chicago Plus"
2021-03-02,0.038,"Protect Chicago Plus"
2021-03-03,0.041,"Protect Chicago Plus"
2021-03-04,0.044,"Protect Chicago Plus"
2021-03-05,0.046,"Protect Chicago Plus"
2021-03-06,0.049,"Protect Chicago Plus"
2021-03-07,0.049,"Protect Chicago Plus"
2021-03-08,0.052,"Protect Chicago Plus"
2021-03-09,0.054,"Protect Chicago Plus"
2021-03-10,0.057,"Protect Chicago Plus"
2021-03-11,0.06,"Protect Chicago Plus"
2021-03-12,0.063,"Protect Chicago Plus"
2021-03-13,0.066,"Protect Chicago Plus"
2021-03-14,0.067,"Protect Chicago Plus"
2021-03-15,0.07,"Protect Chicago Plus"
2021-03-16,0.072,"Protect Chicago Plus"
2021-03-17,0.075,"Protect Chicago Plus"
2021-03-18,0.078,"Protect Chicago Plus"
2021-03-19,0.081,"Protect Chicago Plus"
2021-03-20,0.084,"Protect Chicago Plus"
2021-03-21,0.087,"Protect Chicago Plus"
2021-03-22,0.09,"Protect Chicago Plus"
2021-03-23,0.092,"Protect Chicago Plus"
2021-03-24,0.095,"Protect Chicago Plus"
2021-03-25,0.099,"Protect Chicago Plus"
2021-03-26,0.104,"Protect Chicago Plus"
2021-03-27,0.108,"Protect Chicago Plus"
2021-03-28,0.11,"Protect Chicago Plus"
2021-03-29,0.113,"Protect Chicago Plus"
2021-03-30,0.117,"Protect Chicago Plus"
2021-03-31,0.121,"Protect Chicago Plus"
2021-04-01,0.126,"Protect Chicago Plus"
2021-04-02,0.131,"Protect Chicago Plus"
2021-04-03,0.136,"Protect Chicago Plus"
2021-04-04,0.139,"Protect Chicago Plus"
2021-04-05,0.143,"Protect Chicago Plus"
2021-04-06,0.149,"Protect Chicago Plus"
2021-04-07,0.155,"Protect Chicago Plus"
2021-04-08,0.161,"Protect Chicago Plus"
2021-04-09,0.168,"Protect Chicago Plus"
2021-04-10,0.173,"Protect Chicago Plus"
2021-04-11,0.177,"Protect Chicago Plus"
2021-04-12,0.183,"Protect Chicago Plus"
2021-04-13,0.188,"Protect Chicago Plus"
2021-04-14,0.194,"Protect Chicago Plus"
2021-04-15,0.2,"Protect Chicago Plus"
2021-04-16,0.207,"Protect Chicago Plus"
2021-04-17,0.213,"Protect Chicago Plus"
2021-04-18,0.216,"Protect Chicago Plus"
2021-04-19,0.222,"Protect Chicago Plus"
2021-04-20,0.226,"Protect Chicago Plus"
2021-04-21,0.23,"Protect Chicago Plus"
2021-04-22,0.233,"Protect Chicago Plus"
2021-04-23,0.238,"Protect Chicago Plus"
2021-04-24,0.242,"Protect Chicago Plus"
2021-04-25,0.243,"Protect Chicago Plus"
2021-04-26,0.247,"Protect Chicago Plus"
2021-04-27,0.25,"Protect Chicago Plus"
2021-04-28,0.254,"Protect Chicago Plus"
2021-04-29,0.258,"Protect Chicago Plus"
2021-04-30,0.262,"Protect Chicago Plus"
2021-05-01,0.265,"Protect Chicago Plus"
2021-05-02,0.266,"Protect Chicago Plus"
2021-05-03,0.27,"Protect Chicago Plus"
2021-05-04,0.273,"Protect Chicago Plus"
2021-05-05,0.276,"Protect Chicago Plus"
2021-05-06,0.28,"Protect Chicago Plus"
2021-05-07,0.283,"Protect Chicago Plus"
2021-05-08,0.287,"Protect Chicago Plus"
2021-05-09,0.288,"Protect Chicago Plus"
2021-05-10,0.291,"Protect Chicago Plus"
2021-05-11,0.294,"Protect Chicago Plus"
2021-05-12,0.298,"Protect Chicago Plus"
2021-05-13,0.301,"Protect Chicago Plus"
2021-05-14,0.305,"Protect Chicago Plus"
2021-05-15,0.308,"Protect Chicago Plus"
2021-05-16,0.309,"Protect Chicago Plus"
2021-05-17,0.312,"Protect Chicago Plus"
2021-05-18,0.316,"Protect Chicago Plus"
2021-05-19,0.319,"Protect Chicago Plus"
2021-05-20,0.322,"Protect Chicago Plus"
2021-05-21,0.325,"Protect Chicago Plus"
2021-05-22,0.328,"Protect Chicago Plus"
2021-05-23,0.328,"Protect Chicago Plus"
2021-05-24,0.331,"Protect Chicago Plus"
2021-05-25,0.333,"Protect Chicago Plus"
2020-12-15,0,"Non-Protect Chicago Plus"
2020-12-16,0,"Non-Protect Chicago Plus"
2020-12-17,0,"Non-Protect Chicago Plus"
2020-12-18,0,"Non-Protect Chicago Plus"
2020-12-19,0,"Non-Protect Chicago Plus"
2020-12-20,0,"Non-Protect Chicago Plus"
2020-12-21,0,"Non-Protect Chicago Plus"
2020-12-22,0,"Non-Protect Chicago Plus"
2020-12-23,0,"Non-Protect Chicago Plus"
2020-12-24,0,"Non-Protect Chicago Plus"
2020-12-25,0,"Non-Protect Chicago Plus"
2020-12-26,0,"Non-Protect Chicago Plus"
2020-12-27,0,"Non-Protect Chicago Plus"
2020-12-28,0,"Non-Protect Chicago Plus"
2020-12-29,0,"Non-Protect Chicago Plus"
2020-12-30,0,"Non-Protect Chicago Plus"
2020-12-31,0,"Non-Protect Chicago Plus"
2021-01-01,0,"Non-Protect Chicago Plus"
2021-01-02,0,"Non-Protect Chicago Plus"
2021-01-03,0,"Non-Protect Chicago Plus"
